net,length_um
datamem._12359_,423.47
dp.regfile.wr_din0\[7\],423.05
dp.regfile._02067_,422.66
datamem._11341_,422.35
datamem._11363_,422.045
datamem._08984_,421.745
net2,420.46
datamem.rd_addr0\[1\],420.35
datamem._08376_,420.24
datamem._06750_,420.16
datamem._12148_,420.16
datamem._11755_,419.07
datamem._09328_,419.01
datamem._11560_,418.78
dp.regfile.wr_din0\[16\],418.76
dp.regfile._02650_,418.48
datamem._07416_,418.3
dp.regfile.wr_din0\[8\],418.01
datamem._04202_,417.89
dp.regfile.wr_din0\[19\],417.59
datamem._07175_,417.55
datamem._12573_,417.285
datamem._05701_,417.15
dp.regfile._03346_,417.11
datamem._04373_,416.62
dp.regfile.wr_din0\[28\],416.56
datamem._09331_,416.55
clknet_5_27__leaf_clk,415.44
datamem._08995_,414.91
datamem._07349_,414.595
datamem._11964_,413.17
dp.regfile._02113_,412.61
datamem._09246_,412.42
datamem._09502_,411.76
datamem._11970_,410.94
datamem._12429_,410.55
datamem._08491_,410.43
datamem._10051_,409.74
datamem._11973_,409.66
datamem._12164_,409.48
datamem._05909_,409.35
clknet_5_30__leaf_clk,409.3
datamem._06570_,409.22
dp.regfile._04493_,409.17
datamem._09341_,409.12
datamem._08501_,408.66
datamem._06980_,408.41
dp.regfile._04511_,408.41
dp.regfile._02250_,408.12
dp.regfile.wr_din0\[31\],407.76
dp.regfile.wr_din0\[2\],407.6
datamem._05760_,407.57
dp.regfile._02069_,406.68
datamem._04441_,406.42
datamem._11816_,406.34
dp.regfile._02690_,406.04
datamem._08493_,405.6
dp.regfile._02075_,405.57
datamem._09337_,405.25
dp.regfile._03449_,404.92
datamem._08993_,404.52
datamem._05791_,404.41
dp.regfile.wr_din0\[9\],404.08
datamem._09236_,403.53
dp.regfile._02115_,403.43
dp.regfile._02208_,402.67
datamem._11758_,402.54
dp.regfile._02057_,402.165
datamem._08594_,401.19
datamem._07126_,400.87
datamem._04378_,400.62
datamem._06982_,400.01
datamem._04853_,399.88
dp.regfile.wr_din0\[15\],399.75
datamem._05719_,399.58
dp.regfile._03343_,399.45
clknet_5_26__leaf_clk,398.95
datamem._07444_,398.15
datamem._06727_,398.05
dp.regfile.wr_din0\[25\],397.765
dp.regfile._02252_,397.52
datamem._11398_,397.4
datamem._05964_,396.61
dp.regfile._02254_,396.21
datamem._12204_,396.03
datamem._06976_,395.57
datamem._05823_,395.36
datamem._09244_,394.47
dp.regfile._03348_,394.46
dp.regfile.wr_din0\[17\],394.39
datamem.rd_addr0\[0\],394.15
dp.regfile.wr_din0\[12\],393.35
dp.regfile._02099_,393.2
clknet_5_4__leaf_clk,393.15
dp.regfile._03405_,393.01
dp.regfile._02105_,392.77
dp.regfile._02258_,392.53
datamem._08107_,392.45
datamem._08092_,392.37
datamem._09240_,392.22
datamem._07635_,391.85
datamem._09335_,391.84
datamem._06972_,390.78
dp.regfile._04556_,390.73
datamem._08103_,390.06
datamem._06685_,389.4
datamem._05723_,389.28
datamem._11369_,388.4
dp.regfile._02065_,388.35
datamem._08657_,387.53
dp.regfile._04547_,386.89
datamem._08097_,386.62
dp.regfile._02078_,386.53
dp.regfile.wr_din0\[29\],386.39
datamem._06732_,386.26
datamem._04852_,386.225
datamem._06984_,385.14
datamem._12561_,384.86
datamem._07114_,384.68
dp.regfile._02216_,384.67
datamem._04246_,384.32
datamem._11993_,384.07
datamem._07353_,383.86
clknet_5_13__leaf_clk,383.47
datamem._04372_,383.22
clknet_5_11__leaf_clk,382.99
datamem._10053_,382.96
dp.regfile._02048_,382.96
clknet_5_24__leaf_clk,382.35
dp.regfile._02096_,381.88
datamem._09832_,381.805
datamem._07641_,381.69
dp.regfile.wr_din0\[1\],381.66
datamem._08099_,381.56
dp.regfile.wr_din0\[23\],380.61
datamem._05731_,380.26
datamem._04254_,380.18
dp.regfile._02107_,380.18
datamem._04861_,379.1
dp.regfile._02223_,378.73
datamem._04247_,378.64
datamem._11305_,378.61
datamem._04253_,378.46
datamem._08483_,378.27
dp.regfile.wr_din0\[24\],378.03
dp.regfile._02244_,377.9
datamem._08999_,377.49
datamem._07639_,377.03
datamem._06573_,376.72
datamem._06646_,376.33
datamem._10049_,376.26
dp.regfile._02341_,375.98
dp.regfile._03353_,375.67
datamem._10057_,375.66
datamem._09242_,375.57
datamem._09709_,375.55
datamem._04374_,375.29
datamem._10046_,375.06
datamem._04725_,374.96
datamem._07466_,374.86
datamem._11392_,373.76
dp.regfile._02648_,373.39
datamem._07637_,373.24
datamem._11567_,373.01
datamem._11256_,372.56
dp.regfile._02661_,372.56
dp.regfile._03360_,371.74
clknet_5_23__leaf_clk,371.68
datamem._07851_,371.66
dp.regfile._02094_,371.58
datamem._11722_,371.54
datamem._11306_,370.8
dp.regfile._03362_,370.47
datamem._07446_,370.215
datamem._04464_,369.86
datamem._09494_,369.2
datamem._06791_,368.96
datamem._08961_,368.94
datamem._08661_,368.73
datamem._09339_,368.59
clknet_5_2__leaf_clk,368.56
datamem._07442_,368.11
datamem._06567_,367.72
clknet_5_25__leaf_clk,366.89
datamem._07437_,366.83
dp.regfile._02214_,366.7
net155,366.64
datamem._04377_,366.51
dp.regfile._02682_,365.8
dp.regfile._02675_,365.73
dp.regfile._02202_,365.7
dp.regfile.wr_din0\[30\],365.56
datamem._06320_,365.4
dp.regfile._04589_,364.91
datamem._11810_,364.325
dp.regfile._04517_,364.12
dp.regfile._02637_,363.98
datamem._05715_,363.94
datamem._11629_,363.9
datamem._05739_,363.5
datamem._09343_,363.1
datamem._04870_,362.97
datamem._08997_,362.84
datamem._11373_,361.64
dp.regfile._02196_,361.19
dp.regfile._02210_,361.12
datamem._09492_,361.06
datamem._11282_,360.92
datamem._05804_,359.84
datamem._06576_,358.91
dp.regfile._03407_,358.89
datamem._10055_,358.88
datamem._06978_,358.86
dp.regfile._02677_,358.69
dp.regfile._04683_,358.54
dp.regfile._02562_,358.46
dp.regfile._02220_,358.21
datamem._04862_,358.03
datamem._08454_,357.94
dp.regfile._04582_,357.59
clknet_5_22__leaf_clk,357.42
datamem._11771_,357.31
dp.regfile._02248_,357.07
dp.regfile._02080_,356.87
datamem._12015_,356.17
dp.regfile._04699_,356.095
datamem._08959_,356.03
dp.regfile.wr_din0\[0\],355.98
datamem._09001_,355.77
datamem._07855_,355.36
dp.regfile.wr_din0\[26\],355.2
dp.regfile._02256_,354.785
dp.regfile._02225_,354.78
dp.regfile._02239_,354.45
datamem._08659_,354.14
datamem._11389_,354.14
dp.regfile._03365_,353.94
datamem._10059_,353.29
datamem._09615_,353.08
dp.regfile._04497_,352.97
dp.regfile._03384_,352.04
datamem._07450_,351.91
datamem._12837_,351.82
datamem._11276_,351.67
dp.regfile._04620_,351.66
dp.regfile._03375_,351.49
datamem._04190_,351.46
datamem._07347_,351.4
datamem._05397_,350.84
dp.regfile._03339_,350.8
datamem.wr_din0\[6\],350.28
dp.regfile._02599_,350.1
datamem._08663_,350.09
datamem._06554_,349.95
datamem._04453_,349.62
cu.ZCNVFlags\[0\],349.55
datamem.mem\[61\]\[23\],349.3
datamem._08095_,348.69
datamem._11331_,348.12
datamem._11320_,348
dp.regfile._02229_,347.75
dp.regfile._04700_,347.58
dp.regfile._02262_,346.99
datamem._08665_,346.93
datamem._09487_,346.9
clknet_5_6__leaf_clk,346.62
datamem._07844_,346.3
datamem._09713_,345.94
dp.regfile._03500_,345.94
datamem._07849_,345.78
dp.regfile._02090_,345.71
dp.regfile._03393_,345.44
datamem._06533_,345.38
dp.regfile._02111_,345.38
datamem._04176_,345.08
dp.regfile._02658_,345.02
datamem._05735_,344.9
datamem._07345_,344.79
dp.regfile._02227_,344.61
datamem._06502_,344.51
datamem._08951_,344.45
dp.regfile._03499_,344.11
datamem._04814_,344.09
dp.regfile._02082_,344.09
datamem._08799_,344.05
datamem._11391_,343.33
datamem._04791_,343.14
datamem._12010_,342.77
dp.regfile._02665_,342.22
datamem._11378_,342.15
dp.regfile._04485_,341.995
datamem._11403_,341.97
dp.regfile._02640_,341.94
datamem._11334_,341.39
dp.regfile._03423_,341.23
datamem._06564_,340.85
datamem._04170_,340.8
dp.regfile._02241_,340.78
datamem._08538_,340.21
dp.regfile._03457_,340.06
datamem._09333_,338.85
datamem._08487_,338.75
datamem._12620_,338.72
dp.regfile._02780_,338.51
dp.regfile._02237_,338.5
datamem._08653_,338.49
clknet_1_1__leaf_dp.regfile._05751_,338.25
datamem._06496_,337.97
datamem._10061_,337.82
datamem._08953_,337.63
dp.regfile._04816_,337.28
datamem._11333_,337.16
datamem._06788_,337.09
dp.regfile._02642_,336.7
datamem._05777_,336.65
datamem._06183_,336.43
dp.regfile._02088_,336.38
datamem._12613_,335.95
dp.regfile._02109_,335.69
datamem._11408_,335.53
dp.regfile._02103_,335.3
clknet_5_7__leaf_clk,334.94
datamem._11278_,334.76
datamem._07355_,334.66
dp.regfile._02212_,334.59
dp.regfile._02246_,334.16
datamem._04654_,334.135
dp.regfile._02086_,333.94
datamem.rd_addr0\[4\],333.75
datamem._08705_,333.32
datamem._12011_,333.26
dp.regfile.wr_din0\[27\],332.84
datamem._06789_,332.28
datamem.wr_din0\[4\],332.23
clknet_5_31__leaf_clk,332.06
datamem._08497_,331.95
dp.regfile._04526_,331.25
datamem._11823_,331.24
datamem.wr_din0\[7\],331.17
datamem._09490_,331.07
dp.regfile._02092_,330.98
clknet_5_0__leaf_clk,330.23
clknet_5_16__leaf_clk,330.18
datamem._08655_,329.93
dp.regfile._02231_,329.92
dp.regfile._02084_,328.82
datamem._11343_,328.81
dp.regfile._02233_,328.49
datamem._08499_,328.25
datamem._11326_,327.9
datamem._05712_,327.63
datamem._04564_,327.52
datamem._05842_,327.28
datamem._06795_,326.87
clknet_5_3__leaf_clk,326.64
datamem._09318_,326.22
datamem._04358_,325.76
dp.regfile._04549_,325.41
datamem._12588_,324.84
datamem._12668_,324.8
dp.regfile._02671_,324.43
datamem._04390_,324.42
datamem._12627_,323.725
dp.regfile._02063_,323.7
datamem._08649_,323.15
datamem._11962_,323.07
datamem._12870_,322.98
datamem._07853_,322.72
datamem._05161_,322.59
dp.regfile._02264_,322.47
datamem._06305_,322.27
dp.regfile._02101_,322.22
datamem._08949_,322.03
datamem._11315_,321.91
dp.regfile._02698_,321.79
datamem._11592_,321.59
dp.regfile._04540_,321.39
cu.immed_genEX.inst\[13\],321.14
datamem._08955_,321.02
dp.regfile._04585_,320.56
dp.regfile._03446_,320.49
cu.ZCNVFlags\[2\],320.21
datamem._05740_,319.98
datamem._06557_,319.63
dp.regfile._03484_,319.58
datamem._11448_,319.4
datamem._08946_,318.48
dp.regfile._02117_,317.92
datamem._04801_,317.85
dp.regfile._02235_,317.42
dp.regfile._03356_,317.4
dp.regfile.wr_din0\[20\],317.29
datamem._11793_,317.24
dp.regfile._02679_,316.93
dp.regfile._03327_,316.865
datamem._06792_,316.81
datamem._06797_,316.61
datamem._09568_,316.34
dp.regfile._02663_,316.33
datamem._04802_,316.27
dp.regfile._02684_,316.13
datamem._11383_,316.07
datamem._09723_,315.92
dp.regfile._02673_,315.86
dp.regfile._04684_,315.69
dp.regfile._04586_,315.56
datamem._12018_,315.5
datamem._12036_,315.21
datamem._09585_,315.1
datamem._06798_,315.02
datamem._06783_,314.88
datamem._07492_,314.69
datamem._08448_,314.685
datamem._11324_,314.67
dp.regfile._02667_,314.34
datamem._11316_,313.08
dp.regfile._03368_,312.96
datamem._06782_,312.89
datamem._05921_,312.61
datamem._07448_,312.57
dp.regfile._03399_,312.535
datamem._09587_,312.34
datamem._12758_,312.33
dp.regfile._02669_,312.21
datamem._06587_,311.92
datamem.mem\[61\]\[20\],311.47
datamem._09613_,311.4
datamem._10620_,311.26
datamem._06312_,310.48
datamem._12151_,310.45
dp.regfile._03422_,309.94
datamem._04489_,309.62
datamem._11555_,309.52
dp.regfile._02218_,309.44
dp.regfile._02635_,309.05
datamem._10618_,308.92
datamem._09320_,308.82
dp.regfile._04534_,308.505
datamem._05923_,308.38
datamem._04610_,308.21
datamem._04199_,308.12
datamem._09583_,307.78
datamem._05789_,307.41
datamem._09326_,307.36
datamem._11768_,307.19
clknet_1_0__leaf_dp.regfile._05700_,306.93
datamem._12152_,306.92
datamem._04196_,306.86
datamem._09215_,306.815
datamem._11789_,306.76
datamem._08963_,306.65
datamem._04460_,306.59
datamem._09617_,306.3
dp.regfile._02268_,306.29
datamem._11767_,305.46
datamem._11761_,304.97
dp.regfile._03370_,304.74
datamem._12826_,304.64
datamem._12767_,304.55
datamem._07454_,304.14
datamem._04879_,303.75
dp.regfile._04671_,303.12
datamem._10616_,302.64
datamem._12626_,302.45
datamem._06310_,302.38
datamem.mem\[61\]\[22\],302.3
datamem._07456_,302.11
datamem._04638_,301.81
dp.regfile._02644_,301.81
dp.regfile._02206_,301.74
datamem._05965_,301.65
dp.regfile._04528_,301.28
datamem._06794_,301.23
datamem._04473_,300.44
dp.regfile._04543_,300.32
dp.regfile._04574_,300.19
datamem._06303_,300.18
datamem._12234_,300.085
datamem._05919_,299.88
datamem._05072_,299.78
dp.regfile._04576_,299.7
datamem._08189_,299.43
datamem._04204_,299.42
dp.regfile._02199_,299.15
datamem._07340_,298.64
datamem._08452_,298.54
dp.regfile._03432_,298.36
datamem._06627_,297.96
dp.regfile._03447_,297.85
datamem._08450_,297.73
datamem._08446_,297.62
datamem._12818_,297.58
datamem._05781_,297.02
datamem.mem\[61\]\[17\],297.02
datamem._11308_,297.01
datamem._05130_,296.59
datamem._05575_,296.4
datamem._06608_,296.11
datamem._06499_,296
datamem._10312_,295.9
datamem._07857_,295.6
datamem._09324_,295.5
datamem._12829_,294.945
datamem._05759_,294.94
net223,294.92
datamem._04461_,294.74
datamem._04195_,294.22
datamem._06486_,294.15
datamem._05925_,293.93
dp.regfile._02696_,293.89
datamem._07633_,293.75
datamem._09721_,293.37
datamem._06493_,293.36
datamem._07630_,292.92
dp.regfile._02204_,292.83
datamem._10595_,292.58
datamem._12215_,292.46
dp.regfile._03910_,292.41
datamem._04602_,291.82
datamem._11554_,291.57
datamem._09621_,291.32
datamem._06552_,291.16
datamem._06508_,291.1
datamem._11968_,291.02
datamem._06316_,290.9
datamem._08957_,290.85
dp.regfile._05018_,290.65
datamem._05486_,289.28
dp.regfile._02692_,289
dp.regfile._03419_,287.64
datamem._04676_,286.89
dp.regfile._02686_,286.84
datamem._12235_,286.82
net11,286.51
datamem._08191_,286.43
datamem._11387_,286.21
